title,author,category,cover
Wild Strawberries, Ingmar Bergman, movie,wild-strawberries.jpg
Annie Hall, Woody Allen, movie,anniehall.jpg
Caro Diario, Nanni Moretti, movie,carodiario.jpeg
Bianca, Nanni Moretti, movie,bianca.jpg
Manhattan, Woody Allen, movie,manhattan.jpg
The Seventh Seal, Ingmar Bergman, movie,seventhseal.jpg
Fahrenheit 451, François Truffaut, movie,fahrenheit451.jpg
The Crying Game, Neil Jordan, movie,cryinggame.jpg
Three Days of the Condor, Sydney Pollack, movie,condor.jpg
Doctor Zhivago, David Lean, movie,zhivago.jpg
Her, Spike Jonze, movie,her.jpg
Lost in Translation, Sofia Coppola, movie,translation.jpg
Match Point, Woody Allen, movie,matchpoint.jpg
No Man's Land, Danis Tanovic, movie,nomansland.jpg
The Big Kahuna, John Swanbeck, movie,bigkahuna.jpg
